Week ending date,DHB of service,Dose number,# doses administered,Notes: 
2021-06-20,Counties Manukau,2,7016,
2021-06-20,Hawke's Bay,1,2313,
2021-06-20,Hawke's Bay,2,2456,
2021-06-20,Hutt Valley,1,1821,
2021-06-20,Hutt Valley,2,1297,
2021-06-20,Lakes,1,1789,
2021-06-20,Lakes,2,2007,
2021-06-20,MidCentral,1,4392,
2021-06-20,MidCentral,2,2756,
2021-06-20,Nelson Marlborough,1,2123,
2021-06-20,Nelson Marlborough,2,2799,
2021-06-20,Northland,1,3243,
2021-06-20,Northland,2,1534,
2021-06-20,Other Sites,1,1180,
2021-06-20,Other Sites,2,1182,
2021-06-20,South Canterbury,1,1621,
2021-06-20,South Canterbury,2,301,
2021-06-20,Southern,1,5624,
2021-06-20,Southern,2,4336,
2021-06-20,Tairawhiti,1,1125,
2021-06-20,Tairawhiti,2,709,
2021-06-20,Taranaki,1,1181,
2021-06-20,Taranaki,2,654,
2021-06-20,Waikato,1,3360,
2021-06-20,Waikato,2,3893,
2021-06-20,Wairarapa,1,1066,
2021-06-20,Wairarapa,2,331,
2021-06-20,Waitemata,1,9448,
2021-06-20,Waitemata,2,4425,
2021-06-20,West Coast,1,707,
2021-06-20,West Coast,2,868,
2021-06-20,Whanganui,1,1027,
2021-06-20,Whanganui,2,856,
2021-06-27,Auckland,1,8755,
2021-06-27,Auckland,2,9260,
2021-06-27,Bay of Plenty,1,2987,
2021-06-27,Bay of Plenty,2,4758,
2021-06-27,Canterbury,1,6012,
2021-06-27,Canterbury,2,4402,
2021-06-27,Capital and Coast,1,1152,
2021-06-27,Capital and Coast,2,1203,
2021-06-27,Counties Manukau,1,12742,
2021-06-27,Counties Manukau,2,8906,
2021-06-27,Hawke's Bay,1,698,
2021-06-27,Hawke's Bay,2,3531,
2021-06-27,Hutt Valley,1,1580,
2021-06-27,Hutt Valley,2,1329,
2021-06-27,Lakes,1,1805,
2021-06-27,Lakes,2,2678,
2021-06-27,MidCentral,1,4572,
2021-06-27,MidCentral,2,2448,
2021-06-27,Nelson Marlborough,1,2519,
2021-06-27,Nelson Marlborough,2,1648,
2021-06-27,Northland,1,2496,
2021-06-27,Northland,2,2212,
2021-06-27,Other Sites,1,1059,
2021-06-27,Other Sites,2,732,
2021-06-27,South Canterbury,1,174,
2021-06-27,South Canterbury,2,2187,
2021-06-27,Southern,1,3670,
2021-06-27,Southern,2,6260,
2021-06-27,Tairawhiti,1,568,
2021-06-27,Tairawhiti,2,678,
2021-06-27,Taranaki,1,1222,
2021-06-27,Taranaki,2,615,
2021-06-27,Waikato,1,3352,
2021-06-27,Waikato,2,4146,
2021-06-27,Wairarapa,1,1318,
2021-06-27,Wairarapa,2,553,
2021-06-27,Waitemata,1,9422,
2021-06-27,Waitemata,2,5699,
2021-06-27,West Coast,1,602,
2021-06-27,West Coast,2,800,
2021-06-27,Whanganui,1,293,
2021-06-27,Whanganui,2,1695,
2021-07-04,Auckland,1,8164,
2021-07-04,Auckland,2,7589,
2021-07-04,Bay of Plenty,1,3106,
2021-07-04,Bay of Plenty,2,2974,
2021-07-04,Canterbury,1,6054,
2021-07-04,Canterbury,2,3629,
2021-07-04,Capital and Coast,1,1399,
2021-07-04,Capital and Coast,2,1253,
2021-07-04,Counties Manukau,1,11077,
2021-07-04,Counties Manukau,2,8297,
2021-07-04,Hawke's Bay,1,1315,
2021-07-04,Hawke's Bay,2,2609,
2021-07-04,Hutt Valley,1,1632,
2021-07-04,Hutt Valley,2,1017,
2021-07-04,Lakes,1,1521,
2021-07-04,Lakes,2,2312,
2021-07-04,MidCentral,1,4966,
2021-07-04,MidCentral,2,1899,
2021-07-04,Nelson Marlborough,1,1756,
